"meta__data_version","meta__created","meta__revision","info__balls_per_over","info__dates__-","info__event__match_number","info__event__name","info__gender","info__match_type","info__match_type_number","info__officials__match_referees__-","info__officials__reserve_umpires__-","info__officials__tv_umpires__-","info__officials__umpires","info__outcome__by__wickets","info__outcome__winner","info__overs","info__player_of_match__-","info__players__Australia","info__players__Sri Lanka","info__registry__people__A Zampa","info__registry__people__AJ Finch","info__registry__people__AJ Turner","info__registry__people__AJ Tye","info__registry__people__B Stanlake","info__registry__people__CK Kapugedera","info__registry__people__DAS Gunaratne","info__registry__people__EMDY Munaweera","info__registry__people__JJ Crowe","info__registry__people__JP Faulkner","info__registry__people__JRMVB Sanjaya","info__registry__people__KMDN Kulasekara","info__registry__people__M Klinger","info__registry__people__MC Henriques","info__registry__people__MD Martell","info__registry__people__MW Graham-Smith","info__registry__people__N Dickwella","info__registry__people__P Wilson","info__registry__people__PADLR Sandakan","info__registry__people__PJ Cummins","info__registry__people__S Prasanna","info__registry__people__SJ Nogajski","info__registry__people__SL Malinga","info__registry__people__TAM Siriwardana","info__registry__people__TD Paine","info__registry__people__TM Head","info__registry__people__WU Tharanga","info__season","info__team_type","info__teams","info__toss__decision","info__toss__winner","info__venue","innings__team","innings__overs__over","innings__overs__deliveries__batter","innings__overs__deliveries__bowler","innings__overs__deliveries__extras__noballs","innings__overs__deliveries__extras__legbyes","innings__overs__deliveries__extras__byes","innings__overs__deliveries__extras__wides","innings__overs__deliveries__non_striker","innings__overs__deliveries__runs__batter","innings__overs__deliveries__runs__extras","innings__overs__deliveries__runs__total","innings__overs__deliveries__wickets__kind","innings__overs__deliveries__wickets__player_out","innings__overs__deliveries__wickets__fielders__name","innings__powerplays__from","innings__powerplays__to","innings__powerplays__type","innings__target__overs","innings__target__runs"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MC Henriques","SL Malinga","","","","1","TM Head","0","1","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MC Henriques","SL Malinga","","","","","TM Head","1","0","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TM Head","SL Malinga","","","","","MC Henriques","2","0","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TM Head","SL Malinga","","","","","MC Henriques","1","0","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MC Henriques","SL Malinga","","","","","TM Head","1","0","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TM Head","SL Malinga","","","","","MC Henriques","1","0","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","TM Head","PADLR Sandakan","","","","","MC Henriques","1","0","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MC Henriques","PADLR Sandakan","","","","","TM Head","3","0","3","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TM Head","PADLR Sandakan","","","","","MC Henriques","1","0","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MC Henriques","PADLR Sandakan","","","","","TM Head","6","0","6","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MC Henriques","PADLR Sandakan","","","","","TM Head","3","0","3","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TM Head","PADLR Sandakan","","","","","MC Henriques","2","0","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","MC Henriques","JRMVB Sanjaya","","","","","TM Head","0","0","0","caught","MC Henriques","CK Kapugedera","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TM Head","JRMVB Sanjaya","","","","","AJ Turner","1","0","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AJ Turner","JRMVB Sanjaya","","","","","TM Head","2","0","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AJ Turner","JRMVB Sanjaya","","","","","TM Head","1","0","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TM Head","JRMVB Sanjaya","","","","","AJ Turner","2","0","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TM Head","JRMVB Sanjaya","","","","1","AJ Turner","0","1","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TM Head","JRMVB Sanjaya","","","","","AJ Turner","6","0","6","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16","AJ Turner","SL Malinga","","","","","TM Head","2","0","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AJ Turner","SL Malinga","","","","","TM Head","4","0","4","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AJ Turner","SL Malinga","","","","","TM Head","1","0","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TM Head","SL Malinga","","","","","AJ Turner","1","0","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AJ Turner","SL Malinga","","","","","TM Head","1","0","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TM Head","SL Malinga","","","","","AJ Turner","1","0","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17","TM Head","KMDN Kulasekara","","","","","AJ Turner","1","0","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AJ Turner","KMDN Kulasekara","","","","","TM Head","2","0","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AJ Turner","KMDN Kulasekara","1","","","","TM Head","0","1","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AJ Turner","KMDN Kulasekara","","","","","TM Head","1","0","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TM Head","KMDN Kulasekara","","","","","AJ Turner","1","0","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AJ Turner","KMDN Kulasekara","","","","","TM Head","1","0","1","","","","","","","",""
